0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:37 +0530] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:37 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 10879
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:37 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:39 +0530] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 6592
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:39 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:41 +0530] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:41 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:43 +0530] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 5654
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:46 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 10879
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:46 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:54 +0530] "GET /Ebook-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:33:54 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 6016
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:34:03 +0530] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:34:03 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 6095
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:34:05 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 5978
0:0:0:0:0:0:0:1 - - [15/Feb/2024:16:34:05 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
